CS3,Introduction to Symbolic Programming
CS286,Implementation of Data Base Systems
CS284,Computer-Aided Geometric Design and Modeling
CS265,Compiler Optimization and Code Generation
CS274,Computational Geometry
EE219C,Computer-Aided Verification
CS250,VLSI Systems Design
EE43,Introductory Electronics Laboratory
EE223,Stochastic Systems: Estimation and Control
CS258,Parallel Processors
EE219A,Computer-Aided Verification of Electronic Circuits and Systems
CS281,Machine Learning
EE226B,Applications of Stochastic Process Theory
EE217,Microwave Circuits
EE235,Nanoscale Fabrication
EE227B,Convex Optimization
CS189,Introduction to Machine Learning
EE144,Fundamental Algorithms for System Modeling, Analysis, and Optimization
EE147,Introduction to Microelectromechanical Systems
CS39K,Information Technology
CS191,Quantum Information Science and Technology
EE224B,Fundamentals of Wireless Communication
CS4,Introduction to Computing for Engineers
CS61BL,Data Structures (Lab Based)
CS194,Special Topics
EE229B,Error Control Coding
EE229A,Information Theory and Coding
CS3L,Introduction to Symbolic Programming (Lab Based)
EE291F,Control and Optimization of Distributed Parameters
EE298A,The Entrepreneurial Business of Software
CS61CL,Machine Structures (Lab Based)
CS84,Interactive Choreography in 3D Tele-Immersive Spaces
CS161,Computer Security
EE124,Spectrum Analysis Lab
EE127,Optimization Models and Applications
EE149,Introduction to Embedded Systems
EE127A,Optimization Models and Applications
CS10,The Beauty and Joy of Computing
CS283,Advanced Computer Graphics Algorithms and Techniques
CS39P,Photographing History in the Making
EE225E,Principles of Magnetic Resonance Imaging
EE235C,Nanoscale Fabrication
EE246C,Microelectromechanical Systems
EE219D,System Identification
CS261N,Internet and Network Security
EE134,Fundamentals of Photovoltaic Devices
CSH195,Honors Social Implications of Computer Technology
CS289A,Introduction to Machine Learning
EE240A,Analog Integrated Circuits
CSC149,Introduction to Embedded Systems
CS176,Algorithms for Computational Biology
CS249A,Introduction to Embedded Systems
CS284A,Computer Graphics and Imaging
CS286A,Implementation of Database Systems
CS375,Teaching Techniques for Computer Science
EE230A,Integrated Circuit Devices
EE230C,Solid State Electronics
EE240C,Analog Integrated Circuit Design and Analysis
EE241A,Advanced Digital Integrated Circuits
EE242A,Advanced Integrated Circuits
EE247A,Analog-Digital Interfaces in VLSI Technology
EEC249A,Design of Embedded Systems: Models, Validation and Synthesis
EE375,Teaching Techniques for Electrical Engineering
EE227C,Optimization Models and Applications
EE20,Signals and Systems
EE218,Introduction to Optical Engineering
EE230B,Solid State Devices
EE241B,Advanced Integrated Circuits for Communication
EEC247B,Introduction to MEMS Design
CS168,Introduction to the Internet: Architecture and Protocols
CS39S,Photographic Technique in the Free Speech Movement and Today
EE218A,Introduction to Optical Engineering
EE84,Hands-on Optics
EE16A,Designing Information Devices and Systems I
EE240B,Advanced Analog Integrated Circuit Design
CS61AS,The Structure and Interpretation of Computer Programs (Self-Paced)
EE151,Introduction to Digital Design and Integrated Circuits
EE16B,Designing Information Devices and Systems II
EE291,Control and Optimization of Distributed Parameters
